id,food,Calories,Protein,Carbs,Fat,hourly_weighting
94,"Hot chocolate / Cocoa, ready to drink",91,2.73,16.53,1.54,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
95,"Hot chocolate / Cocoa, ready to drink, made with nonfat milk",78,2.79,16.55,0.06,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
96,"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk",80,1.27,16.3,1.08,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
97,"Hot chocolate / Cocoa, ready to drink, with whipped cream",103,2.74,15.88,3.18,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
98,"Chocolate milk, made from dry mix with whole milk",82,3.35,9.9,3.14,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
99,"Chocolate milk, made from dry mix with reduced fat milk",72,3.43,10.15,1.92,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
100,"Chocolate milk, made from dry mix with fat free milk",57,3.5,10.17,0.22,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
101,"Chocolate milk, made from dry mix with non-dairy milk",59,1.75,9.89,1.38,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
102,"Chocolate milk, made from dry mix, NS as to type of milk (Nesquik)",74,3.41,10.09,2.15,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
103,"Chocolate milk, made from dry mix with whole milk (Nesquik)",82,3.35,9.9,3.14,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
104,"Chocolate milk, made from dry mix with reduced fat milk (Nesquik)",72,3.43,10.15,1.92,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
105,"Chocolate milk, made from dry mix with low fat milk (Nesquik)",65,3.45,10.42,1.03,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
106,"Chocolate milk, made from dry mix with fat free milk (Nesquik)",57,3.5,10.17,0.22,"{0: 1, 1: 0.2, 2: 0.9, 3: 0.3}"
